latitude,longitude,Month,day
-37.58185,142.58468,October,1
-37.58186,142.25135,April,17
-37.91516,145.41798,October,21
-36.37349,144.60963,August,17
-37.8568,147.94294,June,1
-37.80328,145.17075,October,3
-37.8568,147.94294,May,1
-37.58256,145.06293,October,27
-36.58185,142.25134,September,1
-37.58186,142.25135,March,1
-37.91516,145.41798,December,11
-37.82346,147.64295,May,1
-36.78845,144.39733,February,15
-37.24849,145.08464,December,6
-38.2485,144.25134,September,22
-38.24854,141.58471,September,1
-36.24851,142.91799,February,29
-37.91513,147.75128,Unknown,
-37.91516,145.41798,September,1
-37.74845,148.75126,January,3
-37.42151,144.33602,July,20
-37.78069,145.05436,April,10
-37.5847,145.08325,October,23
-38.08183,145.25132,December,1
-34.75684,142.32631,October,18
-35.91518,142.58465,October,3
-36.04013,147.12626,May,26
-35.91519,141.75133,October,8
-37.57695,145.1061,October,27
-37.82346,147.85961,December,1
-37.08182,145.2513,October,1
-38.08183,145.25132,June,1
-34.91519,141.25132,November,22
-35.82352,141.85966,July,29
-37.62937,145.11497,December,3
-38.74851,143.75135,September,1
-37.8068,147.60961,December,1
-36.45681,146.20961,November,18
-38.08183,144.58466,June,1
-38.16469,145.17317,February,9
-34.58997,141.05423,February,1
-37.56931,145.07912,October,28
-36.75584,144.30884,July,10
-37.58182,145.25131,December,1
-37.57695,145.1061,October,28
-36.41514,146.25128,September,1
-37.93415,141.3775,October,4
-36.2068,147.20959,August,15
-35.07351,141.77632,September,17
-37.93684,144.49614,March,2
-36.75584,144.30884,August,28
-35.58886,143.72806,March,4
-34.65684,142.05964,December,2
-38.31893,145.46118,May,29
-37.4152,141.0847,January,27
-37.74853,142.08469,December,1
-36.58181,146.08462,March,1
-37.87346,148.00961,October,1
-35.37711,141.14833,June,7
-38.24849,145.25132,August,1
-35.83184,142.83465,November,4
-37.50805,144.18251,April,14
-36.1568,146.6596,August,25
-38.08183,145.08466,March,6
-37.15588,145.15157,April,4
-38.2485,144.58467,February,1
-34.87351,141.80965,September,22
-37.74846,147.91794,September,11
-35.58185,142.08466,Unknown,
-37.87346,147.90961,August,1
-37.60379,145.2085,October,18
-37.58179,148.25126,April,25
-37.91513,147.58461,Unknown,
-37.62937,145.11497,February,9
-38.08182,145.75131,January,20
-38.32299,144.31477,March,9
-36.45681,146.20961,February,28
-37.85024,144.71272,February,4
-36.20681,146.20961,November,17
-36.91517,143.75132,August,13
-38.24848,146.41797,September,1
-38.40833,145.23417,October,2
-37.84013,147.97627,September,1
-38.14762,145.23522,February,10
-38.58182,146.08465,December,1
-36.24847,146.08461,December,1
-38.24853,141.75137,March,20
-35.58183,143.7513,Unknown,
-37.85429,144.51257,September,6
-37.92347,147.67628,March,10
-35.37711,141.14833,June,24
-35.18217,142.17267,June,8
-36.54012,148.12625,December,31
-36.74847,146.75127,May,10
-36.24851,142.75132,June,20
-34.73515,142.32689,October,21
-37.26053,145.62149,November,20
-35.87348,145.12628,October,24
-37.10805,143.70174,October,1
-37.70679,148.70959,March,10
-36.08184,143.08465,March,11
-38.41517,144.08468,Unknown,
-37.74847,146.91796,April,11
-36.29013,147.20959,August,25
-37.42794,144.34144,March,7
-35.41518,142.25132,Unknown,
-36.37349,144.60963,August,4
-35.95684,142.80965,July,8
-35.37711,141.14833,November,22
-37.75177,144.84287,June,2
-35.70683,144.1263,September,29
-38.08185,143.41801,April,15
-35.95682,145.20962,October,27
-38.2485,145.08466,September,1
-37.77916,144.91247,March,22
-37.58177,149.75124,Unknown,
-37.24848,145.91796,December,1
-38.22349,145.40688,Unknown,
-38.2485,144.58467,November,16
-38.2737,146.58457,November,1
-37.08183,144.58465,August,18
-38.08185,143.41801,July,26
-35.19017,142.94297,February,20
-36.39016,144.59297,August,3
-36.77351,143.05966,October,23
-38.16384,145.17662,March,16
-37.82346,147.85961,November,1
-38.24853,141.75137,April,10
-38.41518,143.91801,March,1
-36.67348,146.14295,September,18
-36.70682,145.1263,November,15
-36.70683,144.29298,November,28
-38.00588,145.54614,March,26
-38.41515,146.41798,May,3
-34.7969,142.36941,October,18
-36.74849,144.7513,January,24
-34.68573,142.31081,January,1
-38.22864,146.58483,November,1
-36.04012,147.54292,August,18
-35.35684,142.57631,December,8
-38.24852,143.08469,September,1
-37.24845,148.91792,January,1
-37.86681,145.45339,May,7
-37.99013,147.72628,September,18
-37.22267,144.04555,July,9
-37.79148,145.10859,May,14
-34.19989,141.58474,June,1
-37.56556,145.07016,October,28
-38.26716,145.04488,February,15
-37.87346,148.00961,July,14
-37.39634,144.92314,March,7
-38.08187,141.08471,December,27
-35.20685,141.27633,September,18
-38.42351,144.19301,September,29
-36.27626,144.11059,October,23
-36.70683,144.29298,October,1
-37.83871,145.1892,May,19
-38.41516,145.25133,October,18
-34.20411,141.79643,February,25
-36.20679,147.62625,June,25
-37.74846,147.91794,April,5
-34.7969,142.36941,July,25
-37.58017,144.77423,July,5
-36.7485,144.25131,November,24
-37.8947,145.44939,December,20
-37.8568,147.94294,April,1
-36.37346,147.34293,May,6
-36.70681,145.95962,October,13
-38.24849,145.75132,May,1
-34.7969,142.36941,January,20
-35.70683,143.45964,August,14
-38.41517,144.25134,Unknown,
-38.41516,145.41799,Unknown,
-38.2485,144.75133,October,13
-37.77226,145.03528,December,1
-38.58182,145.91799,March,1
-37.08183,144.53465,August,13
-37.24849,145.08464,October,1
-35.20684,142.60964,September,21
-35.91516,144.41796,January,15
-36.0818,146.41794,March,1
-36.58183,143.75132,March,10
-37.79936,145.15041,May,27
-37.58186,142.08469,April,17
-38.43662,144.94293,December,10
-37.56931,145.07912,October,24
-36.24848,145.08462,March,1
-38.41517,144.25134,Unknown,
-37.5847,145.08325,October,24
-37.7485,144.75132,Unknown,
-38.52276,143.53936,March,29
-38.2485,144.75133,January,26
-35.24851,141.91799,April,5
-36.75173,144.28658,June,1
-38.61005,143.41727,February,19
-36.58339,147.1203,April,5
-36.24847,146.5846,Unknown,
-37.0818,147.5846,September,1
-36.26117,146.67897,June,5
-35.20686,141.043,March,21
-37.59782,145.42159,December,5
-37.82346,147.74294,September,1
-37.24849,145.08464,November,1
-38.08186,142.0847,Unknown,
-34.57351,142.3263,December,3
-36.8116,144.34387,October,16
-36.75584,144.30884,July,31
